Sku,shipping_operation,ACT,NSW,NT,QLD,SA,TAS,VIC,WA
HD0045-5,Free,0,0,0,0,0,0,0,0
HD0045-6,Free,0,0,0,0,0,0,0,0
GD1001-Z-BK,Free,0,0,0,0,0,0,0,0
GD1002-K-RD,Free,0,0,0,0,0,0,0,0
BLANKETW01-D-11KG-GY,Free,0,0,0,0,0,0,0,0
BLANKETW01-D-9KG-GY,Free,0,0,0,0,0,0,0,0
BLANKETW01-S-9KG-GY,Free,0,0,0,0,0,0,0,0
FU6001-BK,Free,0,0,0,0,0,0,0,0
FU6001-WH,Free,0,0,0,0,0,0,0,0
EB1001-WH,Free,0,0,0,0,0,0,0,0
EA0246-CF,Free,0,0,0,0,0,0,0,0
EA0248-CF,Free,0,0,0,0,0,0,0,0
EA0250-CF,Free,0,0,0,0,0,0,0,0
ED0913-2-CH,Free,0,0,0,0,0,0,0,0
ED0913-2-GY,Free,0,0,0,0,0,0,0,0
FU9001-OA,Free,0,0,0,0,0,0,0,0
FU9001-WH,Free,0,0,0,0,0,0,0,0
HC1001-BK,Free,0,0,0,0,0,0,0,0
HC1001-GN,Free,0,0,0,0,0,0,0,0
HC1002-BK,Free,0,0,0,0,0,0,0,0
HC1002-GN,Free,0,0,0,0,0,0,0,0
HD0045-3,Free,0,0,0,0,0,0,0,0
AP0024-M,Free,0,0,0,0,0,0,0,0
AP0024-S,Free,0,0,0,0,0,0,0,0
BR1005-F-BG,Free,0,0,0,0,0,0,0,0
BR1005-F-BGx2,Free,0,0,0,0,0,0,0,0
BR1005-L-BK,Free,0,0,0,0,0,0,0,0
BR1005-L-BKx2,Free,0,0,0,0,0,0,0,0
EG1207-1S-BK,Free,0,0,0,0,0,0,0,0
EG1207-1S-GN,Free,0,0,0,0,0,0,0,0
EG1207-1S-NV,Free,0,0,0,0,0,0,0,0
EG1207-1S-WI,Free,0,0,0,0,0,0,0,0
EG1207-2S-BK,Free,0,0,0,0,0,0,0,0
EG1207-2S-NV,Free,0,0,0,0,0,0,0,0
EG1207-2S-WI,Free,0,0,0,0,0,0,0,0
EG1207-4S-BK,Free,0,0,0,0,0,0,0,0
EG1207-4S-NV,Free,0,0,0,0,0,0,0,0
EG1207-4S-WI,Free,0,0,0,0,0,0,0,0
FU6002-OA,Free,0,0,0,0,0,0,0,0
DT2003,Free,0,0,0,0,0,0,0,0
